date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-03-12,BNP Paribas Open,1st Round,Hard,Bagnis F.,Laaksonen H.,82,87.0,2.37,1.57,2.54,1.58,2.61,1.66
2022-03-12,BNP Paribas Open,1st Round,Hard,Millman J.,Struff J.L.,77,58.0,1.53,2.5,,,1.55,2.7
2022-03-12,BNP Paribas Open,1st Round,Hard,Rune H.,Humbert U.,86,42.0,2.0,1.8,2.06,1.86,2.06,1.93
2022-03-12,BNP Paribas Open,2nd Round,Hard,Alcaraz C.,Mcdonald M.,19,59.0,1.25,4.0,1.26,4.38,1.29,4.65
2022-03-13,BNP Paribas Open,2nd Round,Hard,Van De Zandschulp B.,Auger-Aliassime F.,47,9.0,3.75,1.28,4.42,1.25,4.42,1.3
2022-03-13,BNP Paribas Open,2nd Round,Hard,Fritz T.,Majchrzak K.,20,75.0,1.22,4.33,1.24,4.44,1.25,4.5
2022-03-13,BNP Paribas Open,2nd Round,Hard,Berrettini M.,Rune H.,6,86.0,1.3,3.5,1.33,3.59,1.37,3.85
2022-03-13,BNP Paribas Open,2nd Round,Hard,Schwartzman D.,Ruusuvuori E.,14,70.0,1.66,2.2,1.69,2.28,1.73,2.36
2022-03-13,BNP Paribas Open,2nd Round,Hard,Harris L.,Bagnis F.,32,82.0,1.61,2.3,1.64,2.38,1.72,2.45
2022-03-13,BNP Paribas Open,2nd Round,Hard,Bublik A.,Murray A.,33,88.0,2.3,1.61,2.43,1.62,2.45,1.7
2022-03-13,BNP Paribas Open,2nd Round,Hard,Hurkacz H.,Otte O.,11,76.0,1.22,4.33,1.24,4.55,1.27,4.6
2022-03-13,BNP Paribas Open,2nd Round,Hard,Rublev A.,Koepfer D.,7,51.0,1.07,9.0,1.07,10.18,1.08,10.18
2022-03-13,BNP Paribas Open,2nd Round,Hard,Kecmanovic M.,Cilic M.,61,24.0,2.37,1.57,2.43,1.62,2.43,1.66
2022-03-13,BNP Paribas Open,2nd Round,Hard,Isner J.,Querrey S.,23,114.0,1.36,3.2,1.36,3.4,1.42,3.4
2022-03-13,BNP Paribas Open,2nd Round,Hard,Kyrgios N.,Delbonis F.,132,34.0,1.16,5.0,1.2,5.17,1.21,5.37
2022-03-13,BNP Paribas Open,2nd Round,Hard,Brooksby J.,Khachanov K.,43,26.0,1.9,1.9,1.88,2.02,2.0,2.03
2022-03-13,BNP Paribas Open,2nd Round,Hard,Basilashvili N.,Fognini F.,18,36.0,1.8,2.0,1.98,1.93,1.98,2.0
2022-03-13,BNP Paribas Open,2nd Round,Hard,Tsitsipas S.,Sock J.,5,147.0,1.16,5.0,1.19,5.46,1.19,5.6
